,domain,bias_rating,category,mbfc_ideo,ave_m,ave_m_log10,donation,donation_adj,len_of_content,content,link,cleaned_rating,side,sep_side
46,breitbart.com,right,fake-news,1.0,57633333.0,7.760673743577910,0,0,1,unknown,unknown,right,right,right
47,cosmopolitan.com,left,left,-1.0,56800000.0,7.754348343357050,0,0,1,unknown,unknown,left,left,left
48,patch.com,least biased,center,0.0,56400000.0,7.751279103983340,0,0,1,unknown,unknown,unknown,unknown,unknown
49,thehill.com,least biased,center,0.0,56066666.0,7.748704739324240,failed,failed,1,unknown,unknown,unknown,unknown,unknown
50,abc.net.au,left-center,leftcenter,-1.0,55233333.0,7.742201258941610,0,0,1,unknown,unknown,left center,left,left center
51,wsj.com,right-center,right-center,1.0,55166666.0,7.741676746016210,0,0,1,unknown,unknown,right center,right,right center
52,zeit.de,left-center,leftcenter,-1.0,54490000.0,7.7363168079041100,0,0,1,unknown,unknown,left center,left,left center
53,vice.com,left-center,leftcenter,-1.0,54333333.0,7.735066355013060,0,0,1,unknown,unknown,left center,left,left center
54,reuters.com,least biased,center,0.0,52400000.0,7.71933129527179,0,0,1,unknown,unknown,unknown,unknown,unknown
55,nos.nl,right-center,right-center,1.0,51566666.0,7.712369061787040,0,0,1,unknown,unknown,right center,right,right center
56,worldstarhiphop.com,left,fake-news,-1.0,50600000.0,7.704150516839800,0,0,1,unknown,unknown,left,left,left
57,hindustantimes.com,left-center,fake-news,-1.0,50033333.0,7.699259443310340,0,0,1,unknown,unknown,left center,left,left center
58,tmz.com,left-center,leftcenter,-1.0,49225797.0,7.692192765220260,0,0,1,unknown,unknown,left center,left,left center
59,india.com,right-center,right-center,1.0,46470000.0,7.667172672478870,0,0,1,unknown,unknown,right center,right,right center
60,theverge.com,left-center,leftcenter,-1.0,45566666.0,7.658647263025150,0,0,1,unknown,unknown,left center,left,left center
61,usnews.com,left-center,leftcenter,-1.0,45460000.0,7.657629431388950,0,0,1,unknown,unknown,left center,left,left center
62,abcnews.go.com,left-center,leftcenter,-1.0,44900000.0,7.652246350675810,failed,failed,1,unknown,unknown,left center,left,left center
63,bleacherreport.com,left-center,leftcenter,-1.0,44510536.0,7.648462833885530,0,0,1,unknown,unknown,left center,left,left center
64,bustle.com,left-center,leftcenter,-1.0,43333333.0,7.636822104268630,0,0,1,unknown,unknown,left center,left,left center
65,theatlantic.com,left-center,leftcenter,-1.0,43166666.0,7.635148517051230,0,0,1,unknown,unknown,left center,left,left center
66,politico.com,left-center,leftcenter,-1.0,42400000.0,7.627365866835530,0,0,1,unknown,unknown,left center,left,left center
67,investopedia.com,least biased,center,0.0,42033333.0,7.623593838741520,0,0,1,unknown,unknown,unknown,unknown,unknown
68,thedailybeast.com,left,left,-1.0,41466666.0,7.617699129126250,0,0,1,unknown,unknown,left,left,left
69,latimes.com,left-center,leftcenter,-1.0,40366666.0,7.606022892009640,0,0,1,unknown,unknown,left center,left,left center
70,sfgate.com,left-center,leftcenter,-1.0,40033333.0,7.602421759915460,0,0,1,unknown,unknown,left center,left,left center
71,lastampa.it,left-center,leftcenter,-1.0,39170000.0,7.5929535715478700,1,0,2,donatella zorzetto,unknown,left center,left,left center
