msn.com	1	1
cnn.com	6	7
dailymail.co.uk	15	28
foxnews.com	9	9
newsweek.com	5	5
worldometers.info	1	4
nytimes.com	3	5
aol.com	2	2
express.co.uk	0	0
indiatimes.com	6	6
infobae.com	1	1
elpais.com	1	1
usatoday.com	7	9
spiegel.de	0	0
forbes.com	9	12
cnet.com	5	5
businessinsider.com	1	1
people.com	5	6
cnbc.com	6	7
drudgereport.com	2	3
marketwatch.com	13	16
francetvinfo.fr	0	0
news.com.au	10	12
fool.com	2	2
ansa.it	2	2
nbcnews.com	5	6
npr.org	9	11
bloomberg.com	4	5
gizmodo.com	10	13
cbsnews.com	5	5
breitbart.com	3	5
patch.com	1	1
thehill.com	5	8
abc.net.au	1	2
wsj.com	0	0
zeit.de	1	1
vice.com	3	3
reuters.com	0	0
nos.nl	0	0
worldstarhiphop.com	5	5
hindustantimes.com	2	3
india.com	2	5
theverge.com	5	6
usnews.com	0	0
abcnews.go.com	2	5
bleacherreport.com	4	4
bustle.com	3	3
theatlantic.com	7	7
politico.com	6	8
investopedia.com	4	4
latimes.com	3	3
sfgate.com	6	9
lastampa.it	1	1
firstpost.com	1	3
stuff.co.nz	5	7
engadget.com	5	10
news.sky.com	1	1
vox.com	7	8
zerohedge.com	1	2
dailystar.co.uk	0	0
economictimes.indiatimes.com	1	1
washingtonexaminer.com	0	0
dailywire.com	0	0
rawstory.com	6	8
dailykos.com	2	7
dailycaller.com	9	10
thegatewaypundit.com	1	2
theepochtimes.com	2	3
gulfnews.com	8	11
townhall.com	2	3
infowars.com	0	0
westernjournal.com	2	2
gotquestions.org	0	0
pjmedia.com	3	4
bdnews24.com	3	5
chinadaily.com.cn	0	0
theblaze.com	2	2
washingtontimes.com	8	9
newsmax.com	5	5
dailytelegraph.com.au	6	8
toofab.com	9	16
bongino.com	1	1
twitchy.com	2	3
americanthinker.com	1	1
palmerreport.com	2	7
thefederalist.com	1	1
www1.cbn.com	0	0
godlikeproductions.com	0	0
freerepublic.com	0	0
lifesitenews.com	0	0
theconservativetreehouse.com	1	3
wnd.com	3	4
redstate.com	2	4
democraticunderground.com	10	13
swarajyamag.com	1	1
republicworld.com	1	1
babylonbee.com	1	2
commondreams.org	0	0
greenpeace.org	0	0
grunge.com	0	0
