domain	bias_rating	category	mbfc_ideo	ave_m	ave_m_log10
timesofindia.indiatimes.com	right-center	right-center	1.0	64100000.0	7.806858036294083
bloomberg.com	left-center	leftcenter	-1.0	62900000.0	7.798650652349791
gizmodo.com	left	left	-1.0	62500000.0	7.795880024292787
indianexpress.com	left-center	leftcenter	-1.0	60766666.0	7.78366541631762
cbsnews.com	left-center	leftcenter	-1.0	57833333.0	7.762178229413506
breitbart.com	right	fake-news	1.0	57633333.0	7.760673743577909
cosmopolitan.com	left	left	-1.0	56800000.0	7.754348343357049
patch.com	least biased	center	0.0	56400000.0	7.751279103983342
thehill.com	least biased	center	0.0	56066666.0	7.748704739324244
abc.net.au	left-center	leftcenter	-1.0	55233333.0	7.742201258941611
wsj.com	right-center	right-center	1.0	55166666.0	7.741676746016211
zeit.de	left-center	leftcenter	-1.0	54490000.0	7.7363168079041085
vice.com	left-center	leftcenter	-1.0	54333333.0	7.735066355013062
reuters.com	least biased	center	0.0	52400000.0	7.71933129527179
nos.nl	right-center	right-center	1.0	51566666.0	7.712369061787038
worldstarhiphop.com	left	fake-news	-1.0	50600000.0	7.704150516839799
hindustantimes.com	left-center	fake-news	-1.0	50033333.0	7.699259443310343
tmz.com	left-center	leftcenter	-1.0	49225797.0	7.692192765220261
india.com	right-center	right-center	1.0	46470000.0	7.667172672478868
theverge.com	left-center	leftcenter	-1.0	45566666.0	7.658647263025149
usnews.com	left-center	leftcenter	-1.0	45460000.0	7.657629431388952
abcnews.go.com	left-center	leftcenter	-1.0	44900000.0	7.652246350675806
bleacherreport.com	left-center	leftcenter	-1.0	44510536.0	7.648462833885532
bustle.com	left-center	leftcenter	-1.0	43333333.0	7.636822104268628
theatlantic.com	left-center	leftcenter	-1.0	43166666.0	7.635148517051234
politico.com	left-center	leftcenter	-1.0	42400000.0	7.627365866835527
investopedia.com	least biased	center	0.0	42033333.0	7.623593838741516
thedailybeast.com	left	left	-1.0	41466666.0	7.617699129126251
latimes.com	left-center	leftcenter	-1.0	40366666.0	7.606022892009636
sfgate.com	left-center	leftcenter	-1.0	40033333.0	7.602421759915458
lastampa.it	left-center	leftcenter	-1.0	39170000.0	7.5929535715478655
firstpost.com	right-center	right-center	1.0	37033333.0	7.568592812039288
stuff.co.nz	left-center	leftcenter	-1.0	36266666.0	7.559507644634176
engadget.com	left-center	leftcenter	-1.0	36000000.0	7.556302512831023
news.sky.com	least biased	center	0.0	35566666.0	7.551043168775046
oneindia.com	left-center	leftcenter	-1.0	35300000.0	7.547774717690782
vox.com	left	left	-1.0	34600000.0	7.53907611134464
zerohedge.com	right conspiracy/pseudoscience	conspiracy	1.0	34500000.0	7.53781910766152
mainichi.jp	left-center	leftcenter	-1.0	33310000.000000004	7.522574632691176
rte.ie	least biased	center	0.0	32979999.999999996	7.5182506513085
zdf.de	least biased	center	0.0	30666666.0	7.486666577346485
slate.com	left	left	-1.0	30486666.0	7.484109947073464
foxbusiness.com	right-center	right-center	1.0	30472351.0	7.483905976414989
deadspin.com	left-center	left	-1.0	30296666.0	7.481394853481621
howtogeek.com	least biased	center	0.0	30270000.0	7.4810124209565725
smh.com.au	left-center	leftcenter	-1.0	29896666.0	7.475622774137409
malaysiakini.com	left-center	leftcenter	-1.0	29070000.0	7.463445031770428
dw.com	left-center	leftcenter	-1.0	28643333.0	7.457023567180913
dailystar.co.uk	right-center	fake-news	1.0	28210000.0	7.45040310155042
thetimes.co.uk	right-center	right-center	1.0	28150000.0	7.449478399187365
time.com	left-center	leftcenter	-1.0	28106666.0	7.44880934829936
kotaku.com	left-center	leftcenter	-1.0	27726666.0	7.442897666530393
nzherald.co.nz	least biased	center	0.0	27216666.0	7.434834939672002
today.com	left-center	leftcenter	-1.0	26899492.0	7.429744094523696
statista.com	least biased	center	0.0	26860000.0	7.429106008332696
globalnews.ca	left-center	leftcenter	-1.0	26860000.0	7.4291060245015155
esquire.com	left	left	-1.0	26023333.0	7.415362935770796
lifehacker.com	left-center	leftcenter	-1.0	25940000.0	7.413969988490331
nationalinterest.org	right-center	right-center	1.0	25620000.0	7.408579142360052
economictimes.indiatimes.com	right-center	fake-news	1.0	25360000.0	7.404149266334872
aleteia.org	right-center	right-center	1.0	25317555.0	7.403421779270145
makeuseof.com	least biased	center	0.0	25300000.0	7.403120538341607
livemint.com	least biased	center	0.0	24670000.0	7.392169149489736
ctvnews.ca	least biased	center	0.0	24123333.0	7.382437329908449
scmp.com	left-center	leftcenter	-1.0	23980000.0	7.379849196873526
apnews.com	left-center	leftcenter	-1.0	23923333.0	7.378821703615049
polygon.com	left-center	leftcenter	-1.0	23400000.0	7.3692158574101425
hollywoodreporter.com	left-center	leftcenter	-1.0	23246666.0	7.366360694547632
washingtonexaminer.com		right	1.0	22520000.0	7.352568405464143
lapresse.ca	left-center	leftcenter	-1.0	22166666.0	7.345700397114186
thehindu.com	left-center	leftcenter	-1.0	22140000.0	7.345177616542704
heavy.com	left-center	leftcenter	-1.0	22033333.0	7.343080217906507
dailywire.com	right	right	1.0	21793333.0	7.338323674809927
elitedaily.com	left	left	-1.0	21540000.0	7.333245719124195
deadline.com	left-center	leftcenter	-1.0	21276666.0	7.327903596514067
realclearpolitics.com	right-center	right-center	1.0	21173333.0	7.325789248373637
news24.com	least biased	center	0.0	21146666.0	7.325241926435637
mashable.com	left	left	-1.0	21090000.0	7.324076600331923
thoughtco.com	least biased	center	0.0	20896666.0	7.320077022046948
nydailynews.com	left-center	leftcenter	-1.0	20560000.0	7.31302313144651
howstuffworks.com	least biased	center	0.0	20460000.0	7.310905650602655
standard.co.uk	right-center	right-center	1.0	20310000.0	7.307709923404807
